Unity Key,English,German,Italian,Ukrainian,Bulgarian,French,Polish,Portuguese,Hungarian,Japanese,Korean,Russian,Spanish,Thai,Chinese (Simplified),"Chinese (Traditional, Hong Kong)",Indonesian,Turkish,Spanish Latin American
modio_btn_retryupdate,Retry Update,Update wiederholen,Riprova l'aggiornamento,Оновити ще раз,Повторен опит за актуализация,Réessayer de mettre à jour,Ponów aktualizację,Voltar a tentar atualização,Újabb frissítési kísérlet,再アップデート,업데이트 재시도,Повторить обновление,Reintentar actualización,อัปเดตใหม่อีกครั้ง,重试更新,再次更新,Coba Memperbarui,Tekrar Güncellemeyi Dene,Reintentar actualización
modio_btn_submit,Submit,Abschicken,Invia,Надіслати,Изпращане,Envoyer,Prześlij,Submeter,Küldés,送信,제출,Отправить,Enviar,ส่ง,提交,送出,Kirim,Gönder,Enviar
modio_btn_search,Search,Suche,Cerca,Пошук,Търсене,Rechercher,Wyszukaj,Pesquisar,Keresés,検索,검색,Поиск,Buscar,ค้นหา,搜索,搜尋,Cari,Ara,Buscar
modio_search_example,Search for Mods...,Suche nach Mods ...,Cerca una mod...,Шукати...,Търсене на модове...,Rechercher des mods…,Wyszukaj mody...,Pesquisar mods...,Modok keresése…,Modを検索…,모드 검색,Искать моды...,Buscar mods...,กำลังค้นหาม็อด...,搜索模组……,搜尋模組……,Cari Mod...,Modları Ara...,Buscar mods
modio_inputprompt_select,Select,Auswählen,Seleziona,Вибрати,Избор,Sélectionner,Wybierz,Selecionar,Kiválasztás,選択,선택,Выбрать,Seleccionar,เลือก,选择,選取,Pilih,Seç,Seleccionar
modio_btn_auth_sendcode,Send Code,Code senden,Invia codice,Надіслати код,Изпращане на код,Envoyer le code,Wyślij kod,Enviar código,Kód küldése,コードを送信,코드 보내기,Отправить код,Enviar código,ส่งรหัส,发送验证码,傳送驗證碼,Kirim Kode,Kod Gönder,Enviar código
modio_report_sending,Sending Report...,Meldung abschicken ...,Invio della segnalazione...,Надсилаємо код...,Докладът се изпраща...,Envoi du rapport…,Wysyłanie raportu...,A enviar denúncia...,Jelentés küldése…,報告を送信中…,신고서 보내는 중...,Отправка жалобы...,Enviando informe...,กำลังส่งรายงาน...,正在发送报告……,正在傳送檢舉內容……,Mengirim Laporan...,Rapor Gönderiliyor...,Enviando informe...
modio_error_generic,Something Went Wrong!,Etwas ist schiefgegangen!,Qualcosa è andato storto!,Щось пішло не так!,Нещо се обърка!,Quelque chose s’est mal passé !,Coś poszło nie tak!,Algo correu mal!,Valami nem stimmel!,問題が発生しました！,뭔가 잘못됐습니다!,Что-то пошло не так!,¡Algo ha salido mal!,เกิดข้อผิดพลาดบางอย่าง!,发生错误！,發生錯誤！,Terjadi Kesalahan!,Bir Hata Meydana Geldi!,¡Algo salió mal!
modio_btn_submitcode,Submit,Abschicken,Invia,Надіслати,Изпращане,Envoyer,Prześlij,Submeter,Küldés,送信,제출,Отправить,Enviar,ส่ง,提交,送出,Kirim,Gönder,Enviar
modio_btn_subscribe,Subscribe,Abonnieren,Iscriviti,Підписатися,Абониране,S’abonner,Subskrybuj,Subscrever,Előfizetés,サブスクライブ,구독하기,Подписаться,Suscribirse,ติดตาม,订阅,訂閱,Berlangganan,Abone Ol,Suscribir
modio_moddepends_header_sub,Subscribe To Mods,Mods abonnieren,Iscriviti alle mod,Підписатися на моди,Абониране за модове,S’abonner à des mods,Subskrybuj mody,Subscrever mods,Feliratkozás modokra,Modをサブスクライブ,모드 구독,Подписаться на моды,Suscribirse a mods,ติดตามม็อด,订阅模组,需訂閱模組,Berlangganan Mod,Modlara Abone Ol,Suscribir a mods
modio_modview_subscribers,Subscribers,Abonnenten,Utenti iscritti,Підписники,Абонати,Abonnés,Subskrybenci,Subscritores,Előfizetők,サブスクライバー,구독자,Подписчики,Suscriptores,ผู้ติดตาม,订阅数,訂閱者數,Pelanggan,Aboneler,Suscriptores
modio_filter_subscriptions,Subscriptions,Abonnements,Iscrizioni,За підписками,Абонаменти,Abonnements,Subskrypcje,Subscrições,Előfizetések,サブスクライブ数,구독,Подписки,Suscripciones,การติดตาม,订阅,訂閱,Langganan,Abonelikler,Suscripciones
modio_btn_tokens_packs,Token Packs,Token-Pakete,Pacchetti di gettoni,Набори жетонів,Пакети с токени,Packs de jetons,Paczki żetonów,Pacotes de tokens,Zsetoncsomagok,トークンパック,토큰 팩,Комплекты жетонов,Paquetes de fichas,แพ็กโทเคน,代币包,代幣包,Paket Token,Jeton Paketleri,Paquetes de tokens
modio_btn_tcs,Terms & Conditions,Geschäftsbedingungen,Termini e condizioni,Правила та умови,Правила и условия,Conditions générales d'utilisation,Regulamin i Warunki,Termos e Condições,Szerződési feltételek,利用条件,이용 약관,Условия обслуживания,Términos y condiciones,ข้อกำหนดและเงื่อนไข,条款与条件,條款與條件,Ketentuan & Syarat,Şartlar ve Koşullar,Términos y condiciones
modio_moddepends_cta_errormissing,There are Mod Dependencies that are currently unavailable.,"Es gibt Mod-Abhängigkeiten, die derzeit nicht verfügbar sind.",Alcune dipendenze mod non sono attualmente disponibili.,Деякі залежності для моду зараз недоступні.,"Има зависимости на мода, които в момента не са налични.",Certaines dépendances de mods sont actuellement indisponibles.,Niektóre zależności moda są obecnie niedostępne.,Há dependências de mods que se encontram indisponíveis.,"Vannak olyan modfüggőségek, amelyek jelenleg nem érhetők el.",現在利用できない必須Modがあります。,현재 사용할 수 없는 모드 종속성이 있습니다.,Некоторые необходимые компоненты мода в настоящее время недоступны.,Hay dependencias de mods que no están disponibles actualmente.,มีไฟล์จำเป็นสำหรับม็อดที่ยังไม่สามารถดาวน์โหลดได้ในปัจจุบัน,存在当前无法取得的依赖模组。,尚有目前無法取得的依賴模組。,Ada Ketergantungan Mod yang saat ini tidak tersedia.,Şu anda kullanılamayan Gerekli Modlar mevcut.,Hay dependencias de mods no disponibles en este momento.
modio_moddepends_cta_errordownload,There are Mod Dependencies that are not downloaded.,"Es gibt Mod-Abhängigkeiten, die nicht heruntergeladen wurden.",Alcune dipendenze mod non sono state scaricate.,Деякі залежності для моду не завантажено.,"Има зависимости на мода, които не са изтеглени.",Certaines dépendances de mods n’ont pas été téléchargées.,Niektóre zależności moda nie zostały pobrane.,Há dependências de mods que não foram transferidas.,"Vannak olyan modfüggőségek, amelyek nincsenek letöltve.",ダウンロードしていない必須Modがあります。,다운로드되지 않은 모드 종속성이 있습니다.,Некоторые необходимые компоненты мода не загружены.,Hay dependencias de mods que no se han descargado.,มีไฟล์จำเป็นสำหรับม็อดที่ยังไม่ได้ดาวน์โหลด,存在尚未下载的依赖模组。,尚有未下載的依賴模組。,Ada Ketergantungan Mod yang saat ini belum diunduh.,İndirilmemiş Gerekli Modlar mevcut.,Faltan dependencias de mods por descargar.
modio_moddepends_description,This mod has Mod Dependencies which are required for it to be installed.,"Dieser Mod hat Mod-Abhängigkeiten, die zur Installation erforderlich sind.",Questa mod ha delle dipendenze mod necessarie per poter essere installata.,"У цього моду є залежності, які необхідно встановити.","Този мод има зависимости на мода, които са необходими, за да бъде инсталиран.",Certaines dépendances de mods sont nécessaires à l’installation de ce mod.,"Ten mod wymaga zależności, które są potrzebne do jego zainstalowania.",Este mod tem dependências de mods que são obrigatórias para que possa ser instalado.,"Ez a mod modfüggőségekkel rendelkezik, amelyek szükségesek a telepítéshez.",このModをインストールするには必須Modが必要です。,해당 모드에는 설치에 필요한 모드 종속성이 있습니다.,Для установки этого мода нужно также установить необходимые компоненты.,Este mod tiene dependencias de mods necesarias para su funcionamiento.,ม็อดนี้มีไฟล์จำเป็นซึ่งต้องดาวน์โหลดก่อนจึงจะสามารถติดตั้งได้,此模组有必须安装的依赖模组。,此模組有必須安裝的依賴模組。,Ada Ketergantungan Mod yang wajib dipasang.,Bu modun kurulabilmesi için Gerekli Modlar mevcut.,Este mod tiene dependencias que son necesarias para poder instalarse.
modio_purchase_details,This mod will be added to your subscriptions and begin downloading after purchasing,Dieser Mod wird zu deinen Abonnements hinzugefügt und wird nach dem Kauf heruntergeladen.,Questa mod verrà aggiunta alle tue iscrizioni e il download inizierà dopo l'acquisto.,Після придбання мод буде додано до ваших підписок і почне завантажуватися,Този мод ще бъде добавен към вашите абонаменти и ще започне да се изтегля след покупката,Ce mod sera ajouté à vos abonnements et le téléchargement débutera après l’achat,Ten mod zostanie dodany do twoich subskrypcji i po zakupie rozpocznie się jego pobieranie.,Este mod vai ser adicionado às tuas subscrições e a sua transferência vai começar após a compra,"Ez a mod hozzáadódik az előfizetéseidhez, és a megvásárlás után megkezdődik a letöltés",このModはお客様のサブスクリプションに追加され、購入後にダウンロードが始まります。,해당 모드는 구독에 추가되며 구매 후 다운로드가 시작됩니다.,Этот мод будет добавлен в ваши подписки и начнет загружаться после покупки,Este mod se añadirá a tus suscripciones y empezará a descargarse en cuanto lo compres.,ม็อดนี้จะถูกเพิ่มไปยังรายการติดตามของคุณแล้วเริ่มดาวน์โหลดหลังจากซื้อเสร็จสิ้น,此模组将于购买后加入订阅并开始下载,此模組將於購買後加入訂閱並開始下載,Mod ini akan ditambahkan ke langganan Anda dan mulai diunduh setelah dibeli,"Bu mod, satın aldıktan sonra aboneliklerine eklenir ve indirilmeye başlanır.",Este mod se añadirá a tus suscripciones y comenzará a descargarse después de la compra.
modio_report_description,"To help us process your report, please provide as much detail and evidence as possible.","Um uns die Bearbeitung deiner Meldung zu erleichtern, bitten wir dich, so viele Details und Nachweise wie möglich anzugeben.","Per aiutarci a elaborare la tua segnalazione, fornisci quanti più dettagli e prove possibili.",Для пришвидшення обробки вашої скарги надайте якомога більше подробиць і доказів.,"За да ни помогнете да обработим вашия доклад, предоставете възможно най-много подробности и доказателства.","Pour nous aider à traiter votre rapport, merci de fournir autant de détails et de preuves que possible.","Aby pomóc nam przetworzyć zgłoszenie, podaj jak najwięcej szczegółów i dowodów.","Para nos ajudares a processar a tua denúncia, indica-nos o maior número possível de detalhes e provas.","Jelentésed feldolgozása érdekében kérjük, adj meg a lehető legtöbb részletet és bizonyítékot.",お客様の報告を適切に取り扱えるよう、できるだけ詳細な内容と証拠になる情報をお伝えください。,신고서 처리에 도움이 될 수 있도록 가능한 한 많은 세부 정보와 증거를 제공해 주세요.,"Чтобы мы могли обработать ваше сообщение, предоставьте как можно больше информации и доказательств.","Para ayudarnos a procesar tu informe, ofrécenos todos los detalles y pruebas posibles.",หากต้องการช่วยให้เราประมวลผลการรายงานได้ง่ายขึ้น โปรดให้ข้อมูลโดยละเอียดที่สุดและให้หลักฐานให้มากที่สุดเท่าที่ทำได้,为帮助我们处理您的报告内容，请尽可能提供详细信息和证据。,為幫助我們處理檢舉內容，請盡可能提供詳細資料與證據。,"Untuk membantu kami memproses laporan Anda, harap berikan detail dan bukti sebanyak mungkin.",Raporunu işlememize yardımcı olması için lütfen mümkün olduğunca fazla ayrıntı ve kanıt sağla.,Proporciona tantos detalles y pruebas como sea posible para que podamos procesar tu informe.
modio_timespan_today,Today,Heute,Oggi,Сьогодні,Днес,Aujourd’hui,Dziś,Hoje,Ma,今日,오늘,Сегодня,Hoy,วันนี้,今日,今日,Hari Ini,Bugün,Hoy
modio_moddepends_total,Total,Insgesamt,Totali,Загалом,Общо,Total,W sumie,Total,Összesen,合計,합계,Всего,Total,ทั้งหมด,总容量,總大小,Total,Toplam,Total
modio_filter_trending,Trending,Tendenz,Di tendenza,За завантаженнями,Тенденция,Tendance,Zyskujące na popularności,Em tendência,Legnépszerűbb,トレンド,추세,В тренде,Tendencias,กำลังมาแรง,近期趋势,趨勢,Trendi,Popüler,En tendencia
modio_modstatus_uploaded,Uploaded,Hochgeladen,Data di caricamento,Завантажено,Качено,Téléversé,Przesłane,Último carregamento,Feltöltött,アップロード日,업로드 완료,Загружено в систему,Enviado,อัปโหลดแล้ว,已上传,上傳,Diunggah,Yüklenme Tarihi,Cargado
modio_modstatus_uploading,Uploading,Wird hochgeladen,Caricamento in corso,Завантажується,Качва се,Téléversement en cours,Przesyłanie,A carregar,Feltöltés,アップロード中,업로드 중,Загружается в систему,Enviando,กำลังอัปโหลด,正在上传,正在上傳,Sedang Mengunggah,Yükleniyor,Cargando
modio_modstate_uninstalling,Uninstalling,Wird deinstalliert,Disinstallazione in corso,Видаляється,Деинсталиране,Désinstallation en cours,Odinstalowanie,A desinstalar,Eltávolítás,アンインストール中,설치 제거 중,Удаление,Desinstalando,กำลังถอนการติดตั้ง,正在卸载,正在解除安裝,Sedang Melepas,Kaldırılıyor,Desinstalando
modio_btn_unsubscribe,Unsubscribe,Abonnement beenden,Annulla iscrizione,Відписатися,Отписване,Se désabonner,Cofnij subskrypcję,Anular subscrição,Leiratkozás,アンサブスクライブ,구독 취소,Отписаться,Desuscribirse,เลิกติดตาม,取消订阅,解除訂閱,Batalkan Langganan,Abonelikten Çık,Anular suscripción
modio_modview_updated,Updated,Aktualisiert,Aggiornata,Оновлено,Актуализиран,Mis à jour,Zaktualizowane,Última atualização,Frissítve,アップデート済,업데이트 완료,Обновлено,Actualizado,อัปเดตแล้ว,已更新,更新,Diperbarui,Güncellenme Tarihi,Actualizado
modio_modstate_updating,Updating,Wird aktualisiert,Aggiornamento in corso,Оновлюється,Актуализиране,Mise à jour en cours,Aktualizowanie,A atualizar,Frissítés,アップデート中,업데이트 중,Обновляется,Actualizando,กำลังอัปเดต,正在更新,正在更新,Sedang Memperbarui,Güncelleniyor,Actualizando
modio_btn_auth_anotheremail,Use Another Email,Andere E-Mail-Adresse verwenden,Usa un'altra e-mail,Ввести іншу електронну пошту,Използвайте друг имейл,Utiliser un autre e-mail,Użyj innego e-maila,Usar outro email,Másik e-mail-cím használata,他のメールを使用,다른 이메일을 사용해 주세요,Использовать другой адрес,Usar otro correo electrónico,ใช้อีเมลอื่น,使用其他电子邮箱,使用其他電子郵件,Gunakan Email Lain,Başka Bir E-posta Kullan,Usar otro correo electrónico
modio_modview_version,Version,Version,Versione,Версія,Версия,Version,Wersja,Versão,Verzió,バージョン,버전,Версия,Versión,เวอร์ชัน,版本,版本,Versi,Sürüm,Versión
modio_btn_viewmod,View Mod,Mod-Ansicht,Visualizza mod,Переглянути,Преглед на мод,Afficher le mod,Wyświetl moda,Ver mod,Mod megtekintése,Modを表示,모드 보기,Показать мод,Ver mod,ดูม็อด,查看模组,查看模組,Lihat Mod,Modu Görüntüle,Ver mod
modio_waiting_generic_header,Waiting,Warte,In attesa,Зачекайте,Изчакване,En attente,Oczekiwanie,A aguardar,Várakozás,待機中,대기중,Ожидание,Esperando,กำลังรอ,正在等待,正在等待,Sedang Menunggu,Bekleniyor,Esperando
modio_auth_description,"We use mod.io to support user-generated content in-game. By clicking “I agree” you agree to mod.io Terms of Use and a mod.io account will be created for you (using your display name, avatar and ID). Please see the mod.io Privacy Policy on how mod.io processes your personal data.","Wir verwenden mod.io, um nutzergenerierte Inhalte im Spiel zu unterstützen. Indem du auf „Ich stimme zu“ klickst, erklärst du dich mit den Nutzungsbedingungen von mod.io einverstanden und es wird ein mod.io-Konto für dich erstellt (unter Verwendung deines Anzeigenamens, Avatars und deiner ID). In der Datenschutzerklärung von mod.io erfährst du, wie mod.io deine personenbezogenen Daten verarbeitet.","Utilizziamo mod.io per supportare i contenuti generati dagli utenti nel gioco. Facendo clic su ""Accetto"", accetti i Termini di utilizzo di mod.io, e verrà creato per te un account mod.io (utilizzando tuoi dati quali nome, avatar e ID visualizzati). Consulta l'Informativa sulla privacy di mod.io per scoprire come mod.io gestisce i tuoi dati personali.","mod.io створено для підтримки користувацького вмісту для ігор. Натиснувши «Погоджуюсь», ви приймаєте Умови використання сайту, і для вас буде створено обліковий запис (з вашим ім'ям користувача, аватаром й ідентифікатором). Ознайомтеся з Політикою конфіденційності mod.io, щоб знати, як наш сайт обробляє ваші персональні дані.","Използваме mod.io, за да поддържаме генерирано от потребителите съдържание в играта. Щраквайки върху „Приемам“, вие приемате Условията за ползване на mod.io и за вас ще бъде създаден акаунт в mod.io (използвайки вашето екранно име, аватар и ID). Вижте Политиката за поверителност на mod.io за това как mod.io обработва вашите лични данни.","Nous utilisons mod.io pour soutenir le contenu généré par les utilisateurs dans le jeu. En cliquant sur « J'accepte », vous acceptez les conditions d'utilisation de mod.io et un compte mod.io sera créé pour vous (en utilisant votre nom affiché, votre avatar et votre identifiant). Veuillez consulter la politique de confidentialité de mod.io pour savoir comment mod.io traite vos données personnelles.","Używamy mod.io do wsparcia zawartości tworzonej przez użytkowników w grze. Klikając w opcję „Zgadzam się”, zgadzasz się na Regulamin Użytkowania mod.io i stworzenie dla ciebie konta mod.io (skorzystamy z twojego wyświetlanego imienia, awatara i identyfikatora). Sprawdź Politykę Prywatności mod.io, aby sprawdzić, w jaki sposób mod.io przetwarza twoje dane osobowe.","Usamos a mod.io para apoiar conteúdos gerados por utilizadores nos jogos. Ao clicares em ""Aceitar"", aceitas os Termos de Utilização da mod.io e será criada uma conta mod.io para ti (com o teu nome a apresentar, avatar e ID). Consulta a Política de Privacidade da mod.io para veres como esta trata os teus dados pessoais.","A mod.io-t használjuk a felhasználók által generált tartalom támogatására a játékban. Az „Elfogadom” gombra kattintva elfogadod a mod.io Használati feltételeit, és egy mod.io fiók jön létre számodra (megjelenített neved, avatárod és azonosítód segítségével). A mod.io Adatvédelmi szabályzatából megtudhatod, hogyan dolgozza fel a mod.io a személyes adataidat.",mod.ioは、ゲーム内におけるユーザー生成コンテンツをサポートするサービスです。「同意する」をクリックすると、mod.ioの利用規約に同意したと見なされ、mod.ioアカウントが作成されます（お客様の表示名、アバター、IDを使用）。mod.ioのプライバシーポリシーで、mod.ioにおけるお客様の個人データの取扱いについてご確認ください。,"저희는 mod.io를 사용하여 게임 내에서 사용자가 생성한 콘텐츠를 지원합니다. “동의합니다”를 클릭하면 mod.io 이용 약관에 동의하는 것이며 mod.io 계정이 생성됩니다(표시 이름, 아바타 및 ID 사용). mod.io가 개인 데이터를 처리하는 방법은 mod.io 개인정보 보호정책을 참조하세요.","Мы используем mod.io для поддержки пользовательских материалов в играх. Нажимая «Я соглашаюсь», вы соглашаетесь с Условиями использования mod.io и с тем, что для вас будет создана учетная запись mod.io (с использованием ваших отображаемого имени, аватара и ID). Пожалуйста, ознакомьтесь с Политикой конфиденциальности mod.io, чтобы узнать, как mod.io обрабатывает ваши персональные данные.","Utilizamos mod.io para apoyar el contenido generado por los usuarios en los juegos. Al hacer clic en ""Acepto"", asumirás las condiciones de uso de mod.io y se creará una cuenta de mod.io para ti (usando tu nombre visible, avatar e ID). Consulta la política de privacidad de mod.io para saber cómo mod.io procesa tus datos personales.","เราใช้ mod.io เพื่อช่วยเหลือเกี่ยวกับเนื้อหาที่สร้างโดยผู้ใช้ในเกม เมื่อคลิก ""ฉันยอมรับ"" จะหมายความว่าคุณยอมรับข้อตกลงในการใช้งานและระบบจะสร้างบัญชี mod.io ให้แก่คุณ (โดยใช้ชื่อที่แสดง อวตาร์ และ ID ของคุณ) โปรดอ่านนโยบายความเป็นส่วนตัวของ mod.io เพื่อทราบเกี่ยวกับวิธีที่ mod.io ประมวลผลข้อมูลส่วนตัวของคุณ",我们使用 mod.io 来协助处理游戏内的用户生成内容。点击“我同意”，即表示您已同意 mod.io 使用条款，并许可我们为您创建一个 mod.io 账号（使用您显示的名称、头像以及 ID）。请查看 mod.io 隐私政策以了解 mod.io 如何处理您的个人数据。,我們使用 mod.io 協助處理遊戲內的使用者創作內容。點選「我同意」代表您同意 mod.io 使用條款，並同意系統為您建立 mod.io 帳號（使用您顯示的名稱、頭像及 ID）。請查看 mod.io 隱私權政策，了解 mod.io 如何處理您的個人資料。,"Kami menggunakan mod.io untuk mendukung konten yang dihasilkan pengguna dalam game. Dengan mengeklik “Saya Setuju”, Anda menyetujui Ketentuan Penggunaan mod.io dan akun mod.io akan dibuat untuk Anda (menggunakan nama tampilan, avatar dan ID Anda). Silakan lihat Kebijakan Privasi mod.io tentang bagaimana mod.io memproses data pribadi Anda.","mod.io'yu kullanarak kullanıcılar tarafından oluşturulmuş içerikleri oyun içinde destekliyoruz. ""Kabul ediyorum""a tıklayarak mod.io'nun Kullanım Koşulları'nı kabul etmiş olursun ve senin için bir mod.io hesabı oluşturulur (Görüntülenen adını, avatarını ve ID'ni kullanır). mod.io'nun kişisel verilerini nasıl işlediğini öğrenmek için lütfen mod.io Gizlilik Politikası'na göz at.","Utilizamos mod.io para habilitar contenido generado por los usuarios dentro del juego. Al seleccionar «Acepto», aceptas los Términos de uso de mod.io y se generará una cuenta de mod.io a tu nombre (con tu nombre de usuario, avatar e ID). Revisa la Política de privacidad de mod.io para conocer cómo se manejan tus datos personales."
modio_purchase_tokens,Would you like to buy a token pack?,Möchtest du ein Token-Paket kaufen?,Vuoi acquistare un pacchetto di gettoni?,Бажаєте купити набір жетонів?,Искате ли да закупите пакет токени?,Voulez-vous acheter un pack de jetons ?,Chcesz kupić pakiet żetonów?,Gostarias de comprar o pacote de tokens?,Szeretnél vásárolni egy zsetoncsomagot?,トークンパックを購入しますか？,토큰 팩을 구매하시겠습니까?,Хотите купить комплект жетонов?,¿Quieres comprar un paquete de fichas?,คุณต้องการซื้อแพ็กโทเคนหรือไม่,要购买代币包吗？,是否要購買代幣包？,Apakah Anda ingin membeli paket token?,Bir jeton paketi satın almak ister misin?,¿Quieres comprar un paquete de tokens?
modio_moddepends_cta_errorstorage,You do not have enough storage available to perform this subscription.,"Du verfügst nicht über genügend Speicherplatz, um dieses Abonnement abzuschließen.",Non disponi di memoria sufficiente per effettuare l'iscrizione.,Для підписки у вас бракує місця на диску.,"Нямате достатъчно налично място за съхранение, за да направите този абонамент.",Votre capacité de stockage disponible est insuffisante pour prendre cet abonnement.,"Masz za mało dostępnego miejsca, aby dokonać tej subskrypcji.",Não tens espaço de armazenamento suficiente para efetuar esta subscrição.,Nincs elég tárhelyed a feliratkozás végrehajtásához.,このサブスクリプションを実行するのに十分なストレージがありません。,이 구독을 실행하기에 충분한 저장 공간이 없습니다.,У вас недостаточно доступного места для оформления этой подписки.,No tienes suficiente almacenamiento para habilitar esta suscripción.,คุณมีพื้นที่ไม่เพียงพอที่จะดำเนินการติดตามนี้ได้,您的储存空间不足，无法完成此订阅。,儲存空間不足，無法執行此訂閱。,Anda tidak memiliki penyimpanan yang cukup untuk menjalankan langganan ini.,Bu aboneliği gerçekleştirmek için yeterli depolama alanına sahip değilsin.,No tienes suficiente almacenamiento para realizar esta suscripción.
modio_tokens_desc_insufficient,You have insufficient tokens to buy this mod.,"Du hast nicht genügend Token, um diesen Mod zu kaufen.",Non hai abbastanza gettoni per acquistare questa mod.,Недостатньо жетонів для купівлі цього моду.,"Нямате достатъчно токени, за да купите този мод.",Vous n’avez pas assez de jetons pour acheter ce mod.,"Masz za mało żetonów, aby kupić tego moda.",Tens tokens insuficientes para comprar este mod.,Nincs elegendő zsetonod a mod megvásárlásához.,このModを購入するのに十分なトークンがありません。,해당 모드를 구매하기에 토큰이 부족합니다.,У вас недостаточно жетонов для покупки этого мода.,No tienes fichas suficientes para comprar este mod.,คุณมีโทเคนไม่เพียงพอที่จะซื้อม็อดนี้ได้,您的代币不足，无法购买此模组。,代幣不足，無法購買此模組。,Token Anda tidak cukup untuk membeli mod ini.,Bu modu satın almaya yetecek jetona sahip değilsin.,No tienes suficientes tokens para comprar este mod.
modio_report_successful,Your Report Was Successfully Submitted.,Deine Meldung wurde erfolgreich abgeschickt.,La tua segnalazione è stata inviata con successo.,Вашу скаргу надіслано.,Вашият доклад беше успешно подаден.,Votre rapport a été envoyé avec succès.,Twoje zgłoszenie zostało przesłane z powodzeniem.,A tua denúncia foi enviada com êxito.,Jelentésed sikeresen elküldve.,報告が正常に送信されました。,신고서가 성공적으로 제출되었습니다.,Ваше сообщение отправлено.,Tu informe se ha enviado correctamente.,ส่งการรายงานของคุณเรียบร้อยแล้ว,您的报告已成功提交。,檢舉內容已成功送出。,Laporan Anda Sudah Berhasil Dikirimkan.,Raporun Başarıyla Gönderildi.,Tu informe se envió correctamente.
modio_modview_author_description,by ({0}),von ({0}),da ({0}),від ({0}),от ({0}),par ({0}),autorstwo: ({0}),por ({0}),készítő: ({0}),({0})のMod,({0}) 제작,автор ({0}),de ({0}),ตาม ({0}),创作者（{0}）,創作者（{0}）,oleh ({0}),Geliştirici: ({0}),de ({0})
modio_modview_updated_value,{2}d ago,vor {2} T.,{2} giorni fa,{2} д. тому,Преди {2} дни,il y a {2} jour(s),{2} dzień/dni temu,Há {2} dia(s),{2} napja,{2}日前,{2}일 전,{2} д. назад,hace {2} día(s),{2}วันที่ผ่านมา,{2} 日前,{2} 天前,{2} hari yang lalu,{2} gün önce,Hace {2} d
modio_unit_bytes,B,B,B,Б,Битове,O,B,B,B,B,B,Б,B,B,B,B,B,B,B
modio_btn_report_dmca,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA,DMCA
modio_btn_report_false,False Information,Falsche Informationen,Informazioni false,Неправдива інформація,Невярна информация,Fausse information,Fałszywe informacje,Informações falsas,Hamis információ,偽情報,허위 정보,Неверная информация,Información falsa,ข้อมูลไม่เป็นความจริง,错误信息,錯誤資訊,Informasi Salah,Yanlış Bilgi,Información falsa
modio_unit_gb,GB,GB,GB,ГБ,GB,Go,GB,GB,GB,GB,GB,ГБ,GB,GB,GB,GB,GB,GB,GB
modio_btn_report_generic,Generic,Allgemein,Generico,Загальне,Общи,Générique,Ogólne,Genérico,Általános,一般的な問題,일반,Общее,Genérico,ทั่วไป,一般,一般,Umum,Genel,Genérico
modio_btn_report_illegal,Illegal Content,Unzulässige Inhalte,Contenuto illegale,Незаконний вміст,Незаконно съдържание,Contenu illégal,Zawartość nielegalna,Conteúdo ilegal,Illegális tartalom,違法なコンテンツ,불법 콘텐츠,Незаконный контент,Contenido ilegal,เนื้อหาผิดกฎหมาย,违法内容,違法內容,Konten Ilegal,Yasa Dışı İçerik,Contenido ilegal
modio_modstate_installed,Installed,Installiert,Installata,Встановлено,Инсталиран,Installé,Zainstalowano,Instalado,Telepítve,インストール済,설치 완료,Установлено,Instalado,ติดตั้งแล้ว,已安装,已安裝,Dipasang,Kurulu,Instalado
modio_unit_kb,KB,KB,KB,КБ,KB,Ko,KB,KB,KB,KB,KB,КБ,KB,KB,KB,KB,KB,KB,KB
modio_unit_mb,MB,MB,MB,МБ,MB,Mo,MB,MB,MB,MB,MB,МБ,MB,MB,MB,MB,MB,MB,MB
modio_error_network,Network Error,Netzwerkfehler,Errore di rete,Помилка мережі,Мрежова грешка,Erreur réseau,Błąd sieci,Erro na rede,Hálózati hiba,ネットワークエラー,네트워크 오류,Ошибка сети,Error de red,เกิดข้อผิดพลาดกับเครือข่าย,网络错误,網路錯誤,Kesalahan Jaringan,Ağ Hatası,Error de red
modio_btn_report_notworking,Not Working,Funktioniert nicht,Non funzionante,Не працює,Не работи,Ne fonctionne pas,Nie działa,Não está a funcionar,Nem működik,正常に動作していません,실행 오류,Не работает,No funciona,ไม่ทำงาน,无法运行,無法運行,Tidak Berjalan,Çalışmıyor,No funciona
modio_btn_report_other,Other,Anderer,Altro,Інше,Други,Autre,Inne,Outro,Egyéb,その他,기타,Другое,Otro,อื่นๆ,其他,其他,Lainnya,Diğer,Otro
modio_btn_report_rude,Rude Content,Unanständige Inhalte,Contenuto offensivo,Образливий контент,Съдържание с грубости,Contenu impoli,Zawartość nieprzyjemna,Conteúdo rude,Durva tartalom,不快なコンテンツ,불쾌한 콘텐츠,Оскорбительный контент,Contenido zafio,เนื้อหาหยาบคาย,粗俗内容,粗鄙內容,Konten Kasar,Kaba İçerik,Contenido ofensivo
